fid,field_1,field_2,field_3,FORM_CODE,IGME_NAME,HYDRO_CODE,H1,SAMPLE_1
"1","21.9316","40.968","-11.4266",al,- Αρνίσσα - Έδεσσα,"111","184",322.829193115234
"2","21.9649","40.968","-8.605",al,- Αρνίσσα - Έδεσσα,"111","164",223.825241088867
"3","21.8983","40.968","-11.8675",T-Js?mr1d,- Αρνίσσα - Βιτολίστε,"2132","217",633.908752441406
"4","21.9316","40.9347","-11.718",K5-8.k,Αρνίσσα,"2111","215",575.046264648438
"5","21.8983","40.9347","-11.1935",fg,Αρνίσσα,"411","220",813.706909179688
"6","21.8983","40.9014","-0.9016",fg,Αρνίσσα,"411","227",1553.423828125
"7","21.865","40.9347","-8.2841",gn,- Βεύη - Αρνίσσα,"413","224",916.646484375
"8","21.865","40.9014","-5.5174",T-Js?mr1d,Αρνίσσα,"2132","228",1571.7109375
"9","21.865","40.8681","-1.8784",gn,- Βεύη - Αρνίσσα,"413","225",1047.96081542969
"10","21.8983","40.8681","5.6552",T-Js?mr1d,Αρνίσσα,"2132","227",1461.33654785156
"11","21.865","40.8348","1.3187",al,Αρνίσσα,"111","217",608.334838867188
"12","21.8983","40.8348","5.2495",K8-9.k,Αρνίσσα,"2211","220",743.405029296875
"13","21.9649","40.9347","-10.3594",K8-9.k1,Αρνίσσα,"2111","186",371.812133789062
"14","21.9649","40.9014","-1.0363",K8-9.k1,Αρνίσσα,"2111","217",632.405517578125
"15","21.9649","40.8681","4.9483",K8-9.k1,Αρνίσσα,"2111","219",680.93115234375
"16","21.9316","40.9014","1.374",fa,- Αρνίσσα - Έδεσσα,"411","222",921.00537109375
"17","21.9982","40.9014","-4.0038",(Js-Ci)5,- Αρνίσσα - Έδεσσα,"5","196",400.615234375
"18","21.9316","40.8681","9.6155",fg,Αρνίσσα,"411","224",924.094482421875
"19","21.9316","40.8348","1.9354",fg,Αρνίσσα,"411","220",704.327941894531
"20","21.8317","40.8681","-12.3767",gn,- Βεύη - Αρνίσσα,"413","223",892.307739257812
"21","21.8317","40.8348","-6.0888",cs5,Αρνίσσα,"111","217",598.42919921875
"22","21.7984","40.8348","-6.9812",T-Jmr1,- Πτολεμαϊς - Πύργοι - Βεύη - Αρνίσσα,"2132","219",710.909606933594
"23","21.9649","40.8348","-4.2725",fa,- Αρνίσσα - Έδεσσα,"411","217",526.902709960938
"24","21.9982","40.8348","-7.6053",fa,- Αρνίσσα - Έδεσσα,"411","218",643.42529296875
"25","21.7984","40.8015","-2.9731",water_surf,- Πύργοι - Αρνίσσα,"0","215",513
"26","21.8317","40.8015","3.1454",al,Αρνίσσα,"111","216",542.952880859375
"27","21.865","40.8015","6.6014",Js?,Αρνίσσα,"413","219",671.128295898438
"28","21.7651","40.8348","-0.6989",sc,Αρνίσσα,"321","226",1156.50256347656
"29","21.8983","40.8015","1.656",fg,Αρνίσσα,"411","217",567.924011230469
"30","21.9316","40.8015","-9.5677",lk,Αρνίσσα,"411","212",477.5
"31","21.9649","40.8015","-16.0143","co,al",Αρνίσσα,"121","212",481.085113525391
"32","21.9982","40.8015","-14.771","co,al",Αρνίσσα,"121","214",495.802154541016
"33","21.865","40.7682","10.9575","co,al",Αρνίσσα,"121","216",546.538879394531
"34","21.8317","40.7682","4.7879",al,Αρνίσσα,"121","217",547.898986816406
"35","22.3312","40.968","-2.9827",Tm-s-J.sch,- Γιαννιτσά - Σκρα,"323","227",1335.42724609375
"36","22.3645","40.968","-2.6482",T-J?-vol,- Γιαννιτσά - Σκρα,"222","221",764.87890625
"37","22.3312","40.9347","-2.1846",Js-Ks.mr,Γιαννιτσά,"2132","223",884.724060058594
"38","22.3645","40.9347","-0.2677",θ,- Γιαννιτσά - Σκρα,"222","226",1295.60083007812
"39","22.2646","40.968","-4.419",Js-Ks.mr,Γιαννιτσά,"2132","226",1166.35437011719
"40","22.2979","40.968","-3.9761","J.mr,sch",Γιαννιτσά,"413","227",1407.07421875
"41","22.4311","40.968","-0.2293",Pla-sh,Γιαννιτσά,"222","178",263.246307373047
"42","22.4311","40.9347","2.5966",Pla-sh,Γιαννιτσά,"222","180",320.37451171875
"43","22.2646","40.9347","-10.0961",K5-9.k.d,- Έδεσσα - Γιαννιτσά - Προμάχοι,"2111","226",1285.76452636719
"44","22.2979","40.9347","-8.1369",Js-Ks.mr,Γιαννιτσά,"2132","222",840.9697265625
"45","22.4644","40.9347","5.2488",H.t,- Γιαννιτσά - Κουφάλια,"121","159",198.962051391602
"46","22.4977","40.9347","0.6801",Ms,- Πλατύ - Γιαννιτσά - Κουφάλια,"311","155",156.237197875977
"47","22.4644","40.9014","7.3031",Ms,- Πλατύ - Γιαννιτσά - Κουφάλια,"311","161",214.630981445312
"48","22.4977","40.9014","0.4951",Ms,- Πλατύ - Γιαννιτσά - Κουφάλια,"311","157",176.187881469727
"49","22.3978","40.9347","-0.2896",θ,- Γιαννιτσά - Σκρα,"222","215",544.884765625
"50","22.2979","40.9014","-3.4264",Js-Ki.k,Γιαννιτσά,"321","226",1229.54260253906
"51","22.3312","40.9014","2.3217","J-σπ,κφ",Γιαννιτσά,"321","216",605.686706542969
"52","22.3978","40.9014","2.6609",Ms,- Πλατύ - Γιαννιτσά - Κουφάλια,"311","203",397.105895996094
"53","22.4311","40.9014","5.3941",Ms,- Πλατύ - Γιαννιτσά - Κουφάλια,"311","177",277.645721435547
"54","22.3978","40.8681","3.3255",Ms,- Πλατύ - Γιαννιτσά - Κουφάλια,"311","179",280.143737792969
"55","22.4311","40.8681","4.803",Ms,- Πλατύ - Γιαννιτσά - Κουφάλια,"311","177",238.719284057617
"56","22.3645","40.9014","3.4648",Js-vol,- Γιαννιτσά - Σκρα,"222","220",746.5478515625
"57","22.2979","40.8681","1.7136",K5-9.k.d,- Έδεσσα - Γιαννιτσά - Προμάχοι,"2111","216",484.788482666016
"58","22.3312","40.8681","5.3011",K5-9.k.d,- Έδεσσα - Γιαννιτσά - Προμάχοι,"2111","216",571.104858398438
"59","22.3645","40.8681","5.591",Ptm-s.fl,Γιαννιτσά,"121","179",297.188568115234
"60","22.4644","40.8681","5.8703",Ms,- Πλατύ - Γιαννιτσά - Κουφάλια,"311","158",178.802993774414
"61","22.4977","40.8681","-0.7373",Ms,- Πλατύ - Γιαννιτσά - Κουφάλια,"311","153",134.490386962891
"62","22.3645","40.8348","6.8478",Ms,- Πλατύ - Γιαννιτσά - Κουφάλια,"311","148",95.0781478881836
"63","22.3978","40.8348","2.2612","Ms.s,m,k",Γιαννιτσά,"111","155",143.014633178711
"64","22.3645","40.8015","6.117","Ms.s,m,k",Γιαννιτσά,"111","135",32.5385398864746
"65","22.3978","40.8015","-0.5003","Ms.s,m,k",Γιαννιτσά,"111","139",61.4595642089844
"66","22.4311","40.8348","0.8529",Ms,- Πλατύ - Γιαννιτσά - Κουφάλια,"311","154",167.097381591797
"67","22.4311","40.8015","-3.4375",Ms,- Πλατύ - Γιαννιτσά - Κουφάλια,"311","146",72.1431579589844
"68","22.4311","40.7682","-2.4689",Ms,- Πλατύ - Γιαννιτσά - Κουφάλια,"311","112",14.6776056289673
"69","22.3312","40.8348","8.2952",Pti-m.cs,Γιαννιτσά,"311","141",51.4576950073242
"70","22.4644","40.7682","-2.1527",Ms,- Πλατύ - Γιαννιτσά - Κουφάλια,"311","118",19.0513343811035
"71","22.4977","40.7682","-3.161",Ms,- Πλατύ - Γιαννιτσά - Κουφάλια,"311","131",39.3036003112793
"72","22.3645","40.6017","-4.2952",H,- Βέροια - Αλεξάνδρεια - Πλατύ - Έδεσσα - Γιαννιτσά - Κουφάλια,"111","109",8.9188814163208
"73","22.3978","40.6017","-10.0814",H,- Βέροια - Αλεξάνδρεια - Πλατύ - Έδεσσα - Γιαννιτσά - Κουφάλια,"111","109",8.5291862487793
"74","22.4311","40.6017","-12.5279",H.t2,Αλεξάνδρεια,"121","110",7.56720399856567
"75","22.4644","40.6017","-11.879",H.t2,Αλεξάνδρεια,"121","108",6.13483476638794
"76","22.3645","40.5684","-2.997",H,- Βέροια - Αλεξάνδρεια - Πλατύ - Έδεσσα - Γιαννιτσά - Κουφάλια,"111","115",15.0925903320312
"77","22.3978","40.5684","-5.2373",H,- Βέροια - Αλεξάνδρεια - Πλατύ - Έδεσσα - Γιαννιτσά - Κουφάλια,"111","115",12.6913213729858
"78","22.4311","40.5684","-5.7321",H,- Κατερίνη - Κολινδρός - Αλεξάνδρεια - Πλατύ,"111","110",9.97233295440674
"79","22.4644","40.5684","-5.9908",H,- Κατερίνη - Κολινδρός - Αλεξάνδρεια - Πλατύ,"111","108",8.20687103271484
"80","22.3312","40.5351","-3.6521",H.c,- Κολινδρός - Αλεξάνδρεια,"111","118",18.7521152496338
"81","22.4311","40.5351","1.7769",H,- Κατερίνη - Κολινδρός - Αλεξάνδρεια - Πλατύ,"111","132",25.7746257781982
"82","22.4644","40.5351","1.4567","Ms-Pli,m,k",Αλεξάνδρεια,"311","149",104.209609985352
"83","22.3978","40.5018","8.2336",H.c,- Αλεξάνδρεια,"311","140",45.3973159790039
"84","22.0648","40.7349","3.2569","θ,δο",Βέροια,"222","175",281.511352539062
"85","22.0981","40.7349","9.1005",mr,Βέροια,"2132","170",133.152770996094
"86","22.1647","40.7016","-17.5241",r-α,Βέροια,"121","139",33.0364418029785
"87","22.0315","40.7349","-1.7128",fa,Βέροια,"411","187",356.527496337891
"88","22.1314","40.7349","5.2689",H,- Βέροια - Αλεξάνδρεια - Πλατύ - Έδεσσα - Γιαννιτσά - Κουφάλια,"111","140",49.2022705078125
"89","22.1647","40.7349","-10.8102",H,- Βέροια - Αλεξάνδρεια - Πλατύ - Έδεσσα - Γιαννιτσά - Κουφάλια,"111","130",29.0154075622559
"90","22.1314","40.7016","1.3993",Ptiv,Βέροια,"121","144",77.5078277587891
"91","22.1314","40.6683","7.267",Ptiv,Βέροια,"121","142",62.0476837158203
"92","22.1647","40.6683","-4.3253",H,- Βέροια - Αλεξάνδρεια - Πλατύ - Έδεσσα - Γιαννιτσά - Κουφάλια,"111","135",36.3993988037109
