id,f,l,H,dg
1,40.63181968,22.96258571,65.5989,33.2077
1,40.63181968,22.96258571,67.0989,33.5064
1,40.527359,22.9714146,1.417671371,2.81711
1,40.3255539,23.4479084,259.4169714,27.3275
1,40.2208824,23.6713867,28.46660873,-19.7131
1,40.3964119,23.8774014,14.87721711,3.25594
1,40.60044395,22.59840634,5.433925047,-14.3591
1,40.60035121,22.68079764,9.587924725,-16.5472
1,40.65931832,22.71892474,13.48812947,-7.48321
1,40.7284012,22.7331257,57.61836942,11.2917
1,40.7884369,22.7643967,257.117578,13.8974
1,40.7938811,22.6690158,112.6114031,2.02821
1,40.7350466,22.84251386,89.25439251,27.9101
1,40.8064346,22.9625683,221.5566406,4.48603
1,40.9380264,23.1951618,612.8490981,5.97097
1,40.8886528,23.0893841,641.8389264,-15.6069
1,40.8001099,23.1446609,419.7986186,-18.4958
1,40.67765728,22.98586045,403.6291932,20.981
1,40.6714582,23.1138907,76.35182837,-11.5219
1,40.64514198,23.21655076,94.21808024,-17.1684
1,40.70741591,23.28136633,310.5932965,-10.3141
1,40.71486088,23.38460305,155.5373224,3.4031
1,40.666812,23.3387847,42.17184451,-17.4018
1,40.6146126,23.3261433,472.1489742,-10.0241
1,40.59970806,23.22482389,222.6989225,-8.00669
1,40.6286634,23.5448376,44.56197698,1.95991
1,40.7243824,23.712766,3.111644539,-9.20393
1,40.6916576,23.6087257,192.5387582,1.07142
1,40.44790144,23.11883491,377.7948957,116.493
1,40.47058141,23.10050461,130.8508744,34.4519
1,40.48075048,23.01360424,153.7158096,45.684
1,40.49583326,23.11330978,59.99466198,16.6966
1,40.46128405,22.9785426,212.0107421,58.7395
1,40.49309172,22.97570329,85.07905247,25.918
1,40.49644295,22.85213248,60.94966409,13.8831
1,40.47550295,22.83389135,42.74369144,6.4731
1,40.48403412,22.88406673,112.863521,31.7272
1,40.49879709,22.93263004,61.80857226,19.7623
1,40.49544023,22.92440941,76.98996061,23.8152
1,40.50840293,22.92987097,6.683105592,3.61532
1,40.50128266,22.928349,20.17128089,7.47707
1,40.50110339,22.92836423,21.50728026,7.88642
1,40.50080104,22.92827854,25.20587921,9.14938
1,40.50115909,22.9275226,21.03538046,7.90697
1,40.50095991,22.92750799,22.67177977,8.38057
1,40.50080754,22.9274183,22.88357924,8.42927
1,40.50107987,22.92670081,21.53528018,8.10762
1,40.50065334,22.92656254,24.9649787,9.00315
1,40.50122872,22.92587708,19.9920807,7.69356
1,40.50092002,22.9258751,22.36117963,8.31163
1,40.50117312,22.9249582,20.73368051,7.92054
1,40.50079999,22.92497353,23.85737921,8.79138
1,40.50122345,22.92406613,19.47278068,7.43467
1,40.50098586,22.92410822,21.45527986,8.02858
1,40.50883992,22.92757921,4.310607108,2.81225
1,40.49972176,22.92639437,34.32657547,11.2548
1,40.49764855,22.93029387,29.28556828,9.31081
1,40.49689335,22.92233617,40.01856566,12.373
1,40.471468,22.93086873,115.7064774,31.4018
1,40.46711409,22.91454322,111.9274623,28.8952
1,40.48023052,22.91313083,74.07050784,20.5508
1,40.49001852,22.9141151,32.9835418,9.3996
1,40.48836599,22.88942058,33.53853607,8.0013
1,40.48349288,22.88967778,49.93851916,11.8837
1,40.48420838,22.88458656,98.02652164,26.279
1,40.46261141,22.92440156,123.3934467,31.4563
1,40.48229166,22.9242551,72.94551499,20.1202
1,40.62799325,22.96313868,39.0566,34.3814
1,40.62837048,22.96285722,37.266,33.5297
1,40.62886536,22.9625533,35.6926,32.6166
1,40.62928196,22.96227909,33.8101,31.5641
1,40.62970116,22.9619917,46.3137,34.5136
1,40.63020949,22.9616412,46.447,34.1027
1,40.63058512,22.96139601,46.4278,34.053
1,40.63085436,22.96121153,46.2122,33.8895
1,40.63133549,22.96083168,46.0499,33.8221
1,40.63173756,22.96044706,45.8581,33.7434
1,40.63203117,22.96010652,45.7117,33.7001
1,40.63261214,22.95934689,45.4775,33.8285
1,40.63309012,22.95851727,45.3523,33.8418
1,40.63337269,22.95798897,45.1524,33.6056
1,40.6336666,22.95741766,45.0563,33.3328
1,40.63394226,22.95691476,44.8243,33.0772
1,40.63416752,22.95641698,43.1745,32.4906
1,40.6334942,22.95568308,29.6613,33.4994
1,40.63321442,22.95625068,31.4583,33.7326
1,40.63294247,22.95675565,31.6796,33.5118
1,40.63259517,22.95739552,34.973,33.6409
1,40.63221782,22.95808217,35.4265,33.4414
1,40.63180683,22.95864945,36.8354,33.3332
1,40.63137712,22.95923939,37.7132,33.2442
1,40.6309924,22.95976229,37.8971,33.2674
1,40.63051995,22.96015499,38.5854,33.4872
