f;l;H;dg;fid;FORM_CODE;PERIMETER;AREA;IGME_NAME;HYDRO_CODE;Density_g_cm3;Source
40.63181968;22.96258571;65.5989;33.2077;6881;sch,gn;266137.883;113675289.9;????? - ????????? - ???????? - ??????????? - ??????????;222;2.8;Carmichael (1989), Practical Handbook of Physical Properties of Rocks
40.63181968;22.96258571;67.0989;33.5064;6881;sch,gn;266137.883;113675289.9;????? - ????????? - ???????? - ??????????? - ??????????;222;2.8;Carmichael (1989), Practical Handbook of Physical Properties of Rocks
40.527359;22.9714146;1.417671371;2.81711;6889;H;38105.53;23625168.93;????? - ???????????;111;2.2;USGS Bulletin 1144-E (Porosity and Bulk Density of Sedimentary Rocks)
40.3255539;23.4479084;259.4169714;27.3275;2888;n,n.q;21929.071;6986488.064;?????????;222;2.65;Carmichael (1989), Practical Handbook of Physical Properties of Rocks
40.2208824;23.6713867;28.46660873;-19.7131;4758;M4-Pli.mk;96082.401;32663516.74;;2211;2.2;USGS Bulletin 1144-E (Porosity and Bulk Density of Sedimentary Rocks)
40.3964119;23.8774014;14.87721711;3.25594;2961;M4-Pli.l;67023.904;15008732.85;????????;411;2.2;USGS Bulletin 1144-E (Porosity and Bulk Density of Sedimentary Rocks)
40.60044395;22.59840634;5.433925047;-14.3591;5006;H;46224.18;90842969.9;?????;111;2.2;USGS Bulletin 1144-E (Porosity and Bulk Density of Sedimentary Rocks)
40.60035121;22.68079764;9.587924725;-16.5472;4998;H;41883.133;96261466.38;?????;111;2.2;USGS Bulletin 1144-E (Porosity and Bulk Density of Sedimentary Rocks)
40.65931832;22.71892474;13.48812947;-7.48321;5070;H;140071.161;222061798.2;;111;2.2;USGS Bulletin 1144-E (Porosity and Bulk Density of Sedimentary Rocks)
40.7284012;22.7331257;57.61836942;11.2917;7196;Ms-Pl?.s,c;87682.056;150827955.6;;311;2.2;USGS Bulletin 1144-E (Porosity and Bulk Density of Sedimentary Rocks)
40.7884369;22.7643967;257.117578;13.8974;7196;Ms-Pl?.s,c;87682.056;150827955.6;;311;2.2;USGS Bulletin 1144-E (Porosity and Bulk Density of Sedimentary Rocks)
40.7938811;22.6690158;112.6114031;2.02821;7196;Ms-Pl?.s,c;87682.056;150827955.6;;311;2.2;USGS Bulletin 1144-E (Porosity and Bulk Density of Sedimentary Rocks)
40.7350466;22.84251386;89.25439251;27.9101;5346;M4-Pli.l;54393.491;34738977.08;;411;2.2;USGS Bulletin 1144-E (Porosity and Bulk Density of Sedimentary Rocks)
40.8064346;22.9625683;221.5566406;4.48603;5289;Pt.t1.c;16415.822;7174546.111;??????;111;2.2;USGS Bulletin 1144-E (Porosity and Bulk Density of Sedimentary Rocks)
40.9380264;23.1951618;612.8490981;5.97097;5361;gn(Pz)-gn2;18204.581;5257219.816;???????;413;2.8;Carmichael (1989), Practical Handbook of Physical Properties of Rocks
40.8886528;23.0893841;641.8389264;-15.6069;7816;gn;2180235.458;1146683215;????? - ?????????? - ?????? - ??????? - ????? - ?????? - ?????????? - ??????? - ????????????;323;2.8;Carmichael (1989), Practical Handbook of Physical Properties of Rocks
40.8001099;23.1446609;419.7986186;-18.4958;7816;gn;2180235.458;1146683215;????? - ?????????? - ?????? - ??????? - ????? - ?????? - ?????????? - ??????? - ????????????;323;2.8;Carmichael (1989), Practical Handbook of Physical Properties of Rocks
40.67765728;22.98586045;403.6291932;20.981;4916;q;9297.546;1394208.008;;322;2.65;Carmichael (1989), Practical Handbook of Physical Properties of Rocks
