f,l,H,dg,fid,FORM_CODE,PERIMETER,AREA,IGME_NAME,HYDRO_CODE,Density_g_,Source,H2,H3
40.631819680000000,22.962585709999999,65.598900000000000,33.207700000000003,"6881",sch,gn,"266137.883","113675289.9",?????,"-",?????????,"144",68.0136566162109
40.631819680000000,22.962585709999999,67.098900000000000,33.506399999999999,"6881",sch,gn,"266137.883","113675289.9",?????,"-",?????????,"144",68.0136566162109
40.527358999999997,22.971414599999999,1.417671371000000,2.817110000000000,"6889",H,"38105.53","23625168.93",?????,"-",???????????,"111","102",0.670189559459686
40.325553900000003,23.447908399999999,259.416971400000023,27.327500000000001,"2888",n,n.q,"21929.071","6986488.064",?????????,"222","2.65","167",256.252563476562
40.220882400000001,23.671386699999999,28.466608730000001,-19.713100000000001,"4758",M4-Pli.mk,"96082.401","32663516.74",,"2211","2.2",USGS,"112",25.7136650085449
40.396411899999997,23.877401400000000,14.877217110000000,3.255940000000000,"2961",M4-Pli.l,"67023.904","15008732.85",????????,"411","2.2",USGS,"108",14.2448635101318
40.600443949999999,22.598406340000000,5.433925047000000,-14.359100000000000,"5006",H,"46224.18","90842969.9",?????,"111","2.2",USGS,"102",3.34979486465454
40.600351209999999,22.680797640000002,9.587924725000001,-16.547200000000000,"4998",H,"41883.133","96261466.38",?????,"111","2.2",USGS,"104",8.32791042327881
40.659318319999997,22.718924739999999,13.488129470000001,-7.483210000000000,"5070",H,"140071.161","222061798.2",,"111","2.2",USGS,"106",6.64587020874023
40.728401200000000,22.733125699999999,57.618369420000001,11.291700000000001,"7196",Ms-Pl?.s,c,"87682.056","150827955.6",,"311","2.2","138",57.0444297790527
40.788436900000001,22.764396699999999,257.117577999999980,13.897399999999999,"7196",Ms-Pl?.s,c,"87682.056","150827955.6",,"311","2.2","167",255.730606079102
40.793881100000000,22.669015800000000,112.611403100000004,2.028210000000000,"7196",Ms-Pl?.s,c,"87682.056","150827955.6",,"311","2.2","148",113.617195129395
40.735046599999997,22.842513860000000,89.254392510000002,27.910100000000000,"5346",M4-Pli.l,"54393.491","34738977.08",,"411","2.2",USGS,"143",85.3198699951172
40.806434600000003,22.962568300000001,221.556640600000009,4.486030000000001,"5289",Pt.t1.c,"16415.822","7174546.111",??????,"111","2.2",USGS,"159",193.91357421875
40.938026399999998,23.195161800000001,612.849098099999992,5.970970000000000,"5361",gn(Pz)-gn2,"18204.581","5257219.816",???????,"413","2.8",Carmichael,"217",611.370422363281
40.888652800000003,23.089384100000000,641.838926399999991,-15.606900000000000,"7816",gn,"2180235.458","1146683215",?????,"-",??????????,"-","217",639.607604980469
40.800109900000002,23.144660900000002,419.798618599999998,-18.495799999999999,"7816",gn,"2180235.458","1146683215",?????,"-",??????????,"-","199",417.741424560547
40.677657279999998,22.985860450000001,403.629193199999975,20.981000000000002,"4916",q,"9297.546","1394208.008",,"322","2.65",Carmichael,"191",399.349243164062
40.671458199999996,23.113890699999999,76.351828370000007,-11.521900000000000,"3849",water_surf,"32214.292","48488293.92",?????,"0","1",Standard,"143",76.0425491333008
40.645141979999998,23.216550760000001,94.218080240000006,-17.168399999999998,"3871",H.l,"15685.527","8456515.441",?????,"311","2.2",USGS,"146",93.620719909668
40.707415910000002,23.281366330000001,310.593296500000008,-10.314100000000000,"7816",gn,"2180235.458","1146683215",?????,"-",??????????,"-","174",308.962921142578
40.714860880000003,23.384603049999999,155.537322399999994,3.403100000000000,"6866",ab-gn2,"46746.682","20405361.02",??????????,"-",?????,"323","149",152.107192993164
40.666812000000000,23.338784700000001,42.171844510000000,-17.401800000000001,"4249",H.l,"32333.924","16719253.06",?????,"-",??????????,"311","137",41.4296035766602
40.614612600000001,23.326143299999998,472.148974199999998,-10.024100000000001,"4107",gn2,"63420.71","32289125.89",??????????,"413","2.8",Carmichael,"209",470.803070068359
40.599708059999998,23.224823890000000,222.698922500000009,-8.006690000000003,"4255",Pt-t2.c,"58895.842","32065115.03",?????,"-",??????????,"111","164",222.371139526367
40.628663400000001,23.544837600000001,44.561976979999997,1.959910000000000,"4286",H.lk,"63758.274","11266670.02",??????????,"-",???????,"411","139",43.704174041748
40.724382400000003,23.712765999999998,3.111644539000000,-9.203930000000000,"10317",cd,dn,"29697.38","2491284.545",,"121","2.2","103",1.43700790405273
40.691657599999999,23.608725700000001,192.538758199999990,1.071420000000000,"3211",M4-Pli.l,"13638.02","2008401.382",???????,"411","2.2",USGS,"154",192.383560180664
40.447901440000003,23.118834910000000,377.794895699999984,116.492999999999995,"3608",?1,n,"21753.379","8050139.507",????????,"222","2.65","184",376.021942138672
40.470581410000001,23.100504610000002,130.850874400000009,34.451900000000002,"6892",M4.Pli,l,"648133.072","319791045.1",?????????,"-",????????,"150",128.479904174805
40.480750479999998,23.013604239999999,153.715809600000000,45.683999999999997,"6892",M4.Pli,l,"648133.072","319791045.1",?????????,"-",????????,"152",150.746139526367
40.495833259999998,23.113309780000002,59.994661979999997,16.696600000000000,"3811",Pt-t3.c,"98521.983","32652862.97",?????????,"-",????????,"111","141",57.9466896057129
40.461284050000003,22.978542600000001,212.010742099999987,58.739500000000000,"6890",M4-Pli.st,m,"154525.729","189669679.3",,"221","2.2","159",208.603515625
40.493091720000002,22.975703289999998,85.079052469999993,25.917999999999999,"6892",M4.Pli,l,"648133.072","319791045.1",?????????,"-",????????,"142",83.6387100219727
40.496442950000002,22.852132480000002,60.949664089999999,13.883100000000001,"6890",M4-Pli.st,m,"154525.729","189669679.3",,"221","2.2","140",59.4502105712891
40.475502949999999,22.833891349999998,42.743691439999999,6.473100000000000,"6890",M4-Pli.st,m,"154525.729","189669679.3",,"221","2.2","121",39.0084266662598
40.484034119999997,22.884066730000001,112.863521000000006,31.727200000000000,"6890",M4-Pli.st,m,"154525.729","189669679.3",,"221","2.2","146",105.31517791748
40.498797089999997,22.932630039999999,61.808572259999998,19.762300000000000,"6890",M4-Pli.st,m,"154525.729","189669679.3",,"221","2.2","123",58.7965316772461
40.495440230000000,22.924409409999999,76.989960609999997,23.815200000000001,"6890",M4-Pli.st,m,"154525.729","189669679.3",,"221","2.2","141",72.9604339599609
40.508402930000003,22.929870970000000,6.683105592000000,3.615320000000000,"6889",H,"38105.53","23625168.93",?????,"-",???????????,"111","107",3.73743152618408
40.501282660000001,22.928349000000001,20.171280889999998,7.477070000000000,"6889",H,"38105.53","23625168.93",?????,"-",???????????,"111","123",20.1721706390381
40.501103389999997,22.928364230000000,21.507280260000002,7.886420000000000,"6889",H,"38105.53","23625168.93",?????,"-",???????????,"111","123",19.8894367218018
40.500801039999999,22.928278540000001,25.205879209999999,9.149380000000001,"6890",M4-Pli.st,m,"154525.729","189669679.3",,"221","2.2","123",27.5285873413086
40.501159090000002,22.927522600000000,21.035380459999999,7.906970000000000,"6889",H,"38105.53","23625168.93",?????,"-",???????????,"111","123",20.0990467071533
40.500959909999999,22.927507989999999,22.671779770000001,8.380570000000002,"6890",M4-Pli.st,m,"154525.729","189669679.3",,"221","2.2","123",26.5457420349121
40.500807539999997,22.927418299999999,22.883579240000000,8.429270000000002,"6890",M4-Pli.st,m,"154525.729","189669679.3",,"221","2.2","123",26.5457420349121
40.501079869999998,22.926700810000000,21.535280180000001,8.107620000000002,"6890",M4-Pli.st,m,"154525.729","189669679.3",,"221","2.2","123",20.0719242095947
40.500653340000000,22.926562539999999,24.964978700000000,9.003150000000000,"6890",M4-Pli.st,m,"154525.729","189669679.3",,"221","2.2","123",28.0348834991455
40.501228720000000,22.925877079999999,19.992080699999999,7.693560000000000,"6889",H,"38105.53","23625168.93",?????,"-",???????????,"111","123",19.6581478118896
40.500920020000002,22.925875099999999,22.361179629999999,8.311629999999999,"6890",M4-Pli.st,m,"154525.729","189669679.3",,"221","2.2","123",24.2086658477783
40.501173119999997,22.924958199999999,20.733680509999999,7.920540000000000,"6889",H,"38105.53","23625168.93",?????,"-",???????????,"111","123",19.1280136108398
40.500799989999997,22.924973529999999,23.857379210000001,8.791380000000000,"6890",M4-Pli.st,m,"154525.729","189669679.3",,"221","2.2","123",25.16796875
40.501223449999998,22.924066130000000,19.472780680000000,7.434670000000000,"6889",H,"38105.53","23625168.93",?????,"-",???????????,"111","122",20.8654708862305
40.500985860000000,22.924108220000001,21.455279860000001,8.028580000000000,"6890",M4-Pli.st,m,"154525.729","189669679.3",,"221","2.2","122",20.8654708862305
40.508839920000000,22.927579210000001,4.310607108000000,2.812250000000000,"6889",H,"38105.53","23625168.93",?????,"-",???????????,"111","107",4.99955558776855
40.499721760000000,22.926394370000001,34.326575470000002,11.254799999999999,"6890",M4-Pli.st,m,"154525.729","189669679.3",,"221","2.2","123",37.7725296020508
40.497648550000001,22.930293870000000,29.285568280000000,9.310810000000000,"6890",M4-Pli.st,m,"154525.729","189669679.3",,"221","2.2","141",33.0753402709961
40.496893350000001,22.922336170000001,40.018565660000000,12.372999999999999,"6890",M4-Pli.st,m,"154525.729","189669679.3",,"221","2.2","141",38.3121376037598
40.471468000000002,22.930868730000000,115.706477399999997,31.401800000000001,"6890",M4-Pli.st,m,"154525.729","189669679.3",,"221","2.2","151",116.559638977051
40.467114090000003,22.914543219999999,111.927462300000002,28.895199999999999,"6890",M4-Pli.st,m,"154525.729","189669679.3",,"221","2.2","149",111.92115020752
40.480230519999999,22.913130830000000,74.070507840000005,20.550799999999999,"6890",M4-Pli.st,m,"154525.729","189669679.3",,"221","2.2","142",72.2303009033203
40.490018520000000,22.914115100000000,32.983541799999998,9.399600000000000,"6890",M4-Pli.st,m,"154525.729","189669679.3",,"221","2.2","142",33.0882263183594
40.488365989999998,22.889420579999999,33.538536069999999,8.001300000000002,"6890",M4-Pli.st,m,"154525.729","189669679.3",,"221","2.2","143",34.4170303344727
40.483492880000000,22.889677780000000,49.938519159999998,11.883699999999999,"6890",M4-Pli.st,m,"154525.729","189669679.3",,"221","2.2","146",50.6932106018066
40.484208379999998,22.884586559999999,98.026521639999999,26.279000000000000,"6890",M4-Pli.st,m,"154525.729","189669679.3",,"221","2.2","146",97.5609130859375
40.462611410000001,22.924401560000000,123.393446699999998,31.456299999999999,"6890",M4-Pli.st,m,"154525.729","189669679.3",,"221","2.2","152",123.016418457031
40.482291660000001,22.924255100000000,72.945514990000007,20.120200000000001,"6890",M4-Pli.st,m,"154525.729","189669679.3",,"221","2.2","148",73.2022323608398
40.627993250000003,22.963138680000000,39.056600000000003,34.381399999999999,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",52.9356231689453
40.628370480000001,22.962857220000000,37.265999999999998,33.529699999999998,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",46.6809539794922
40.628865359999999,22.962553300000000,35.692599999999999,32.616599999999998,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",46.8549537658691
40.629281960000000,22.962279089999999,33.810099999999998,31.564100000000000,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",46.5198211669922
40.629701160000003,22.961991699999999,46.313699999999997,34.513599999999997,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",44.5637626647949
40.630209489999999,22.961641199999999,46.447000000000003,34.102699999999999,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","144",45.3507766723633
40.630585119999999,22.961396010000001,46.427799999999998,34.052999999999997,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","144",45.6637954711914
40.630854360000001,22.961211530000000,46.212200000000003,33.889499999999998,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","144",47.2125930786133
40.631335489999998,22.960831679999998,46.049900000000001,33.822099999999999,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","144",42.886604309082
40.631737559999998,22.960447060000000,45.858100000000000,33.743400000000001,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","144",45.3907089233398
40.632031169999998,22.960106520000000,45.711700000000000,33.700099999999999,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","144",44.8969612121582
40.632612139999999,22.959346889999999,45.477499999999999,33.828499999999998,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","144",46.6048622131348
40.633090119999999,22.958517270000002,45.352300000000000,33.841799999999999,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","144",40.3923187255859
40.633372690000002,22.957988969999999,45.152400000000000,33.605600000000003,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","130",40.644603729248
40.633666599999998,22.957417660000001,45.056300000000000,33.332799999999999,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","130",40.4806938171387
40.633942259999998,22.956914760000000,44.824300000000001,33.077199999999998,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","130",40.7170867919922
40.634167519999998,22.956416980000000,43.174500000000002,32.490600000000001,"6881",sch,gn,"266137.883","113675289.9",?????,"-",?????????,"130",36.1462631225586
40.633494200000001,22.955683080000000,29.661300000000001,33.499400000000001,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","130",35.396842956543
40.633214420000002,22.956250680000000,31.458300000000001,33.732599999999998,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","130",35.526912689209
40.632942470000003,22.956755650000002,31.679600000000001,33.511800000000001,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","130",38.9219779968262
40.632595170000002,22.957395519999999,34.972999999999999,33.640900000000002,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","130",36.1203002929688
40.632217820000001,22.958082170000001,35.426499999999997,33.441400000000002,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","130",39.5993995666504
40.631806830000002,22.958649449999999,36.835400000000000,33.333199999999998,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","144",44.8703269958496
40.631377120000003,22.959239390000000,37.713200000000001,33.244199999999999,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","144",39.7118873596191
40.630992399999997,22.959762290000000,37.897100000000002,33.267400000000002,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","144",41.3136138916016
40.630519950000000,22.960154989999999,38.585400000000000,33.487200000000001,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","144",48.3133964538574
40.630094860000000,22.960331490000002,38.621000000000002,33.596100000000000,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",39.4618949890137
40.627944599999999,22.962159069999998,41.013100000000001,33.017600000000002,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",40.4675521850586
40.627563230000000,22.962414350000000,41.007500000000000,32.871800000000000,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",40.784008026123
40.627243100000001,22.962645309999999,41.311500000000002,32.826999999999998,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",41.9087562561035
40.633002189999999,22.955212209999999,27.142299999999999,33.538200000000003,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","130",28.0617923736572
40.632555809999999,22.956086960000000,28.389399999999998,33.463799999999999,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","130",34.2681846618652
40.632104529999999,22.956850880000001,26.711500000000001,32.895000000000003,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","130",38.8459892272949
40.631614239999998,22.957395569999999,31.708200000000001,33.290799999999997,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","130",32.3083419799805
40.631324900000003,22.958171239999999,32.896400000000000,33.132599999999996,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","130",34.6871299743652
40.630921209999997,22.958670540000000,33.779400000000003,33.016100000000002,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","144",34.5692749023438
40.630268160000000,22.959641720000000,36.231000000000002,33.252299999999998,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","144",38.3078804016113
40.629870689999997,22.959754550000000,35.091500000000003,33.216500000000003,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",38.2293815612793
40.627969929999999,22.961575239999998,38.972700000000003,33.034999999999997,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",38.4253730773926
40.627592260000000,22.961833870000000,38.560899999999997,32.752899999999997,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",39.0493240356445
40.627262799999997,22.962062419999999,38.988000000000000,32.684100000000001,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",36.7442169189453
40.626952080000002,22.961858990000000,36.092900000000000,32.371400000000001,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",36.5680389404297
40.627645020000003,22.960874889999999,35.026299999999999,32.187899999999999,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",32.8615112304688
40.632561480000000,22.954806949999998,25.184100000000001,33.256900000000002,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","130",26.3559875488281
40.632270859999998,22.955271310000001,26.516800000000000,33.039099999999998,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","130",29.5257816314697
40.631981840000002,22.955826080000001,26.473400000000002,32.855899999999998,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","130",26.6090717315674
40.631687100000001,22.956349710000001,34.146799999999999,35.394500000000001,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","130",37.5666618347168
40.631214479999997,22.957042000000001,30.067799999999998,33.607199999999999,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","130",39.7099266052246
40.630838580000002,22.957605950000001,29.591500000000000,33.054800000000000,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","130",37.4973411560059
40.630460239999998,22.958094800000001,29.969799999999999,32.971800000000002,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","130",31.8930683135986
40.630134210000001,22.958658499999999,30.570900000000002,32.836100000000002,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",30.0101356506348
40.629682520000003,22.959016080000001,30.595700000000001,32.850600000000000,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",32.246410369873
40.629242159999997,22.959189039999998,30.270199999999999,32.830700000000000,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",33.6693534851074
40.628826549999999,22.959498400000001,31.002300000000002,32.636400000000002,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",36.0865058898926
40.628552350000000,22.959832200000001,30.870200000000001,32.440399999999997,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",26.5845584869385
40.628306819999999,22.960445790000001,32.223500000000001,32.928100000000001,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",34.2068901062012
40.628294519999997,22.961128460000001,35.290500000000002,33.219200000000001,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",38.1907424926758
40.628345490000001,22.961820650000000,38.645499999999998,33.319699999999997,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",41.403507232666
40.628362719999998,22.962281619999999,42.111100000000000,33.349800000000002,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",44.2986679077148
40.631853640000003,22.954168320000001,22.386900000000001,32.409399999999998,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","130",25.5756721496582
40.631488619999999,22.955065869999999,3.533800000000000,26.585699999999999,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","130",36.1882858276367
40.630951330000002,22.955799379999998,26.332300000000000,33.027200000000001,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","130",27.3741016387939
40.630441730000001,22.956535010000000,26.421700000000001,32.637999999999998,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","130",26.7298641204834
40.629845539999998,22.957340009999999,24.401399999999999,32.627000000000002,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","115",24.5274562835693
40.629202550000002,22.958226790000001,26.400200000000002,32.706200000000003,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",26.9038238525391
40.628542410000001,22.958925059999999,33.317399999999999,34.993600000000001,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",28.3950748443604
40.627793470000000,22.959821370000000,35.539700000000003,35.305199999999999,"6880",M4-Pli.l,"75690.601","40362056.72",?????,"-",???????????,"411","138",33.7228202819824
